Date,Close
2024-01-02,14765.94043
2024-01-03,14592.20996
2024-01-04,14510.2998
2024-01-05,14524.07031
2024-01-08,14843.76953
2024-01-09,14857.70996
2024-01-10,14969.65039
2024-01-11,14970.19043
2024-01-12,14972.75977
2024-01-16,14944.34961
2024-01-17,14855.62012
2024-01-18,15055.65039
2024-01-19,15310.96973
2024-01-22,15360.29004
2024-01-23,15425.94043
2024-01-24,15481.91992
2024-01-25,15510.5
2024-01-26,15455.36035
2024-01-29,15628.04004
2024-01-30,15509.90039
2024-01-31,15164.00977
2024-02-01,15361.63965
2024-02-02,15628.9502
2024-02-05,15597.67969
2024-02-06,15609
2024-02-07,15756.63965
2024-02-08,15793.70996
2024-02-09,15990.66016
2024-02-12,15942.5498
2024-02-13,15655.59961
2024-02-14,15859.15039
2024-02-15,15906.16992
2024-02-16,15775.65039
2024-02-20,15630.78027
2024-02-21,15580.87012
2024-02-22,16041.62012
2024-02-23,15996.82031
2024-02-26,15976.25
2024-02-27,16035.2998
2024-02-28,15947.74023
2024-02-29,16091.91992
2024-03-01,16274.94043
2024-03-04,16207.50977
2024-03-05,15939.58984
2024-03-06,16031.54004
2024-03-07,16273.37988
2024-03-08,16085.11035
2024-03-11,16019.26953
2024-03-12,16265.63965
2024-03-13,16177.76953
2024-03-14,16128.53027
2024-03-15,15973.16992
2024-03-18,16103.4502
2024-03-19,16166.79004
2024-03-20,16369.41016
2024-03-21,16401.83984
2024-03-22,16428.82031
2024-03-25,16384.4707
2024-03-26,16315.7002
2024-03-27,16399.51953
2024-03-28,16379.45996
2024-04-01,16396.83008
2024-04-02,16240.4502
2024-04-03,16277.45996
2024-04-04,16049.08008
2024-04-05,16248.51953
2024-04-08,16253.95996
2024-04-09,16306.63965
2024-04-10,16170.36035
2024-04-11,16442.19922
2024-04-12,16175.08984
2024-04-15,15885.01953
2024-04-16,15865.25
2024-04-17,15683.37012
2024-04-18,15601.5
2024-04-19,15282.00977
2024-04-22,15451.30957
2024-04-23,15696.63965
2024-04-24,15712.75
2024-04-25,15611.75977
2024-04-26,15927.90039
2024-04-29,15983.08008
2024-04-30,15657.82031
2024-05-01,15605.48047
2024-05-02,15840.95996
2024-05-03,16156.33008
2024-05-06,16349.25
2024-05-07,16332.55957
2024-05-08,16302.75977
2024-05-09,16346.25977
2024-05-10,16340.87012
2024-05-13,16388.24023
2024-05-14,16511.17969
2024-05-15,16742.39063
2024-05-16,16698.32031
2024-05-17,16685.9707
2024-05-20,16794.86914
2024-05-21,16832.61914
2024-05-22,16801.53906
2024-05-23,16736.0293
2024-05-24,16920.78906
2024-05-28,17019.88086
2024-05-29,16920.58008
2024-05-30,16737.08008
2024-05-31,16735.01953
2024-06-03,16828.66992
2024-06-04,16857.05078
2024-06-05,17187.90039
2024-06-06,17173.11914
2024-06-07,17133.13086
2024-06-10,17192.5293
2024-06-11,17343.55078
2024-06-12,17608.43945
